Gender,Age,Hobby,HSC_Gpa,HSC_Group,Grade_Math,Grade_Phy,Grade_Bio,Grade_Chem,Grade_Acc,Grade_Eco,Grade_Bom,Grade_FBI,Grade_Log,Grade_Hist,Grade_Socio,Grade_Geo,Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Sub_Undergrad,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
1,2,48,7,2,3,5,5,5,0,0,0,0,0,0,0,0,4,3,5,d,d,0,5,1,3,4,5,5,4,4,4,3,3,3,3,1,3,1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,5,4,5,5.0,3,11,11,13,14,13,44
1,2,34,7,2,5,5,5,5,0,0,0,0,0,0,0,0,4,14,5,i,c,1,6,0,3,3,4,4,4,4,3,1,3,3,4,3,2,3,4,3,3,2,2,3,4,4,4,4,3,4,4,4,4,2,4,3.0,3,10,15,13,13,10,47
1,1,54,6,2,5,5,5,4,0,0,0,0,0,0,0,0,5,15,5,a,f,0,0,2,4,3,4,4,3,5,4,4,3,2,3,2,4,2,3,2,2,2,3,2,2,2,2,3,2,4,4,4,4,4,5,4.0,2,10,13,12,14,12,42
0,2,31,7,2,5,4,5,5,0,0,0,0,0,0,0,0,4,5,5,d,d,0,0,1,3,3,5,4,2,3,3,4,4,2,2,2,4,2,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4.0,2,14,11,10,15,12,49
0,1,29,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,5,g,f,1,0,1,3,3,4,4,3,5,4,4,2,3,3,2,1,4,4,3,4,3,3,4,2,3,4,4,4,4,4,4,4,3,5,3.0,3,12,16,12,11,15,47
0,1,62,6,2,4,4,5,5,0,0,0,0,0,0,0,0,5,13,4,g,g,1,4,1,2,2,3,3,3,4,3,4,4,2,2,3,2,4,4,2,4,4,2,2,4,3,4,4,3,5,5,5,2,2,3,2.0,2,12,15,8,11,13,44
0,1,0,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,17,5,i,i,1,6,1,3,3,4,4,2,3,2,1,4,3,2,4,3,2,4,2,2,4,4,4,4,3,3,4,3,2,4,4,3,2,3,2.0,2,16,11,11,15,7,39
0,1,31,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,i,0,4,2,3,2,4,4,4,4,4,4,4,2,3,3,2,4,4,4,4,3,4,4,4,2,4,3,3,2,4,4,3,2,3,2.0,2,15,16,10,13,16,38
0,2,26,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,30,5,a,a,1,4,0,2,1,5,4,3,5,4,2,5,1,1,5,4,3,4,1,3,5,5,5,5,4,5,3,5,3,5,5,5,2,5,3.0,1,20,15,5,18,10,51
0,2,30,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,17,5,a,a,1,5,2,1,5,5,5,5,5,5,5,3,1,2,3,1,1,1,1,3,1,1,2,2,4,5,5,4,5,5,4,5,2,5,4.0,5,7,12,9,14,14,55
1,3,28,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,b,a,0,2,2,4,3,4,4,2,3,2,2,4,3,2,2,3,2,4,2,2,4,4,4,2,4,4,4,3,2,4,4,4,2,4,4.0,3,16,11,12,13,8,44
1,0,59,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,2,5,d,a,0,5,2,2,1,3,3,3,3,4,3,5,2,3,1,1,1,1,3,1,2,2,5,3,3,3,3,2,3,3,3,3,3,3,3.0,3,14,8,8,8,11,38
0,0,26,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,5,a,a,1,6,2,5,5,4,5,5,4,3,4,4,5,5,4,3,4,3,4,3,4,4,3,3,5,4,4,4,5,4,4,5,3,5,3.0,3,15,16,20,16,14,52
