Gender,Age,Hobby,HSC_Gpa,HSC_Group,HSC_Grade_Math,HSC_Grade_Physics,HSC_Grade_Biology,HSC_Grade_Chemistry,HSC_Grade_Accounting,HSC_Grade_Economics,HSC_Grade_BOM,HSC_Grade_FBI,HSC_Grade_Logic,HSC_Grade_History,HSC_Grade_Sociology,HSC_Grade_Geography,HSC_Grade_ICT,Fvrt_Subject,Fvrt_Sub_Grade,Undergraduate_Sub_Wanted,Undergraduate_Sub,Satisfaction,Current_CGPA,Difficulty_Undergraduate,e1,e3,a1,a3,c1,c3,n1,n3,o1,e2,e4,a4,a2,c2,c4,n2,n4,o3,o2,o4,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,OPN,CSN,EXT,ARG,NT,INT
1,22 above,18,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,3,a,a,1,3,2,3,5,4,5,4,5,3,3,4,1,1,1,2,5,5,1,3,4,3,4,4,4,3,5,4,4,5,5,5,1,5,1.0,1,15,19,10,12,10,47
1,22 above,35,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,c,c,1,4,1,3,4,4,4,4,4,2,2,3,3,3,3,3,4,4,2,3,3,3,4,3,3,4,4,3,4,4,4,5,2,4,4.0,4,13,16,13,14,9,48
0,22 above,3,6,2,5,4,4,4,0,0,0,0,0,0,0,0,4,21,5,i,i,1,2,1,2,4,4,4,3,4,4,2,4,5,3,2,2,3,4,3,4,2,3,4,3,3,3,3,2,3,3,4,4,4,4,5.0,5,13,14,14,12,13,46
1,20-22,42,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,4,a,a,1,1,1,3,5,4,3,3,4,2,4,3,4,5,2,3,2,3,2,2,2,3,2,3,3,4,4,4,3,4,4,5,2,4,3.0,2,10,12,17,12,10,45
1,22 above,68,5,0,0,0,0,0,0,0,0,0,5,4,5,3,5,28,4,d,d,0,4,1,3,3,3,3,2,3,2,3,3,5,3,3,5,5,5,3,5,5,5,5,1,3,3,3,1,3,3,3,3,1,3,3.0,1,18,15,14,14,13,31
1,22 above,21,4,2,5,3,2,4,0,0,0,0,0,0,0,0,5,21,5,a,a,1,5,0,1,3,4,5,5,2,4,1,5,5,1,1,1,3,1,3,3,5,5,1,5,5,5,5,4,4,4,5,3,2,5,2.0,1,16,11,10,11,11,50
1,20-22,34,6,2,4,4,5,5,0,0,0,0,0,0,0,0,5,2,5,a,a,1,2,2,4,5,4,5,2,2,4,5,1,5,4,3,1,4,3,4,2,3,3,2,2,2,3,4,1,5,4,5,5,2,5,5.0,3,9,11,18,13,15,46
1,22 above,1,4,0,0,0,0,0,0,4,0,0,0,3,5,0,5,8,5,g,g,1,3,2,2,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3.0,3,16,11,11,13,12,39
1,20-22,7,7,2,5,5,5,5,0,0,0,0,0,0,0,0,4,24,5,a,a,0,5,1,2,3,5,4,3,4,5,5,4,2,3,2,2,1,1,3,1,1,3,3,3,3,4,4,2,4,1,1,5,5,5,4.0,3,11,9,10,13,14,44
1,22 above,41,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,6,4,a,d,0,3,2,1,3,4,4,3,4,1,3,4,2,3,2,2,2,2,3,2,2,2,4,3,3,3,3,3,3,4,4,5,5,5,5.0,5,12,11,9,12,9,51
1,20-22,34,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,6,5,a,a,1,5,1,2,2,3,3,3,3,2,2,3,3,3,4,3,4,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3,2,2,3.0,2,13,13,10,13,10,34
1,22 above,36,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,21,4,a,a,0,5,1,3,5,4,4,5,5,3,5,5,5,5,3,1,4,2,3,4,3,4,4,2,2,3,3,4,3,2,3,5,3,5,4.0,5,16,16,18,12,15,44
1,20-22,66,7,2,5,5,5,5,0,0,0,0,0,0,0,0,5,24,5,a,c,1,6,1,1,2,4,4,3,2,4,3,4,2,1,2,3,2,1,4,2,3,3,5,3,2,4,3,4,2,4,4,5,5,5,2.0,1,15,8,6,13,13,44
